alert_code,source,area_ha,year,biome,state,city,embargoed_areas,auto,fiscalizations,asvs,actions_final_situation,final_situation
554335,SAD-MATA-ATLANTICA,"0,4349",2022,MATA ATLANTICA,SANTA CATARINA,CONCORDIA,ALERTA SEM EMBARGO,ALERTA SEM AUTO DE INFRACAO,ALERTA SEM FISCALIZACAO,ALERTA SEM AUTORIZACAO,ALERTA SEM ACAO,ALERTA SEM CRUZAMENTO COM ACAO OU AUTORIZACAO
554363,SAD-MATA-ATLANTICA,"2,2278",2022,MATA ATLANTICA,SANTA CATARINA,CHAPECO,ALERTA SEM EMBARGO,ALERTA SEM AUTO DE INFRACAO,ALERTA SEM FISCALIZACAO,ALERTA SEM AUTORIZACAO,ALERTA SEM ACAO,ALERTA SEM CRUZAMENTO COM ACAO OU AUTORIZACAO
554384,SAD-MATA-ATLANTICA,"1,4210",2022,MATA ATLANTICA,SANTA CATARINA,CERRO NEGRO,ALERTA SEM EMBARGO,ALERTA SEM AUTO DE INFRACAO,ALERTA SEM FISCALIZACAO,ALERTA SEM AUTORIZACAO,ALERTA SEM ACAO,ALERTA SEM CRUZAMENTO COM ACAO OU AUTORIZACAO
554417,SAD-MATA-ATLANTICA,"2,4092",2022,MATA ATLANTICA,SANTA CATARINA,LEBON REGIS,ALERTA SEM EMBARGO,ALERTA SEM AUTO DE INFRACAO,ALERTA SEM FISCALIZACAO,ALERTA SEM AUTORIZACAO,ALERTA SEM ACAO,ALERTA SEM CRUZAMENTO COM ACAO OU AUTORIZACAO
554426,SAD-MATA-ATLANTICA,"0,4058",2022,MATA ATLANTICA,SANTA CATARINA,OURO,ALERTA SEM EMBARGO,ALERTA SEM AUTO DE INFRACAO,ALERTA SEM FISCALIZACAO,ALERTA SEM AUTORIZACAO,ALERTA SEM ACAO,ALERTA SEM CRUZAMENTO COM ACAO OU AUTORIZACAO
554573,SAD-MATA-ATLANTICA,"1,8909",2022,MATA ATLANTICA,SANTA CATARINA,JOACABA,ALERTA SEM EMBARGO,ALERTA SEM AUTO DE INFRACAO,ALERTA SEM FISCALIZACAO,ALERTA SEM AUTORIZACAO,ALERTA SEM ACAO,ALERTA SEM CRUZAMENTO COM ACAO OU AUTORIZACAO
554600,SAD-MATA-ATLANTICA,"1,3220",2022,MATA ATLANTICA,SANTA CATARINA,OURO,ALERTA SEM EMBARGO,ALERTA SEM AUTO DE INFRACAO,ALERTA SEM FISCALIZACAO,ALERTA SEM AUTORIZACAO,ALERTA SEM ACAO,ALERTA SEM CRUZAMENTO COM ACAO OU AUTORIZACAO
554687,SAD-MATA-ATLANTICA,"0,6626",2022,MATA ATLANTICA,SANTA CATARINA,CONCORDIA,ALERTA SEM EMBARGO,ALERTA SEM AUTO DE INFRACAO,ALERTA SEM FISCALIZACAO,ALERTA SEM AUTORIZACAO,ALERTA SEM ACAO,ALERTA SEM CRUZAMENTO COM ACAO OU AUTORIZACAO
554814,SAD-MATA-ATLANTICA,"1,9421",2022,MATA ATLANTICA,SANTA CATARINA,CAMPO ERE,ALERTA SEM EMBARGO,ALERTA SEM AUTO DE INFRACAO,ALERTA SEM FISCALIZACAO,ALERTA SEM AUTORIZACAO,ALERTA SEM ACAO,ALERTA SEM CRUZAMENTO COM ACAO OU AUTORIZACAO
554836,SAD-MATA-ATLANTICA,"1,2455",2022,MATA ATLANTICA,SANTA CATARINA,CELSO RAMOS,ALERTA SEM EMBARGO,ALERTA SEM AUTO DE INFRACAO,ALERTA SEM FISCALIZACAO,ALERTA SEM AUTORIZACAO,ALERTA SEM ACAO,ALERTA SEM CRUZAMENTO COM ACAO OU AUTORIZACAO
