year,city,quantidade_registros,area_ha_total
2020,BELA VISTA DO TOLDO,1,1.2217
2020,BOCAINA DO SUL,5,22.6134
2020,BOM JARDIM DA SERRA,1,4.856
2020,BOM RETIRO,4,16.0737
2020,BRACO DO NORTE,2,4.1008
2020,BRACO DO TROMBUDO,1,1.9995
2020,BRUNOPOLIS,3,7.7604
2020,BRUSQUE,2,2.0434
2020,CACADOR,5,19.6781
2020,CALMON,3,16.2792
2020,CAMBORIU,1,8.2266
2020,CAMPO ALEGRE,3,7.6129
2020,CAMPO BELO DO SUL,2,15.2909
2020,CAMPO ERE,1,1.7053
2020,CAMPOS NOVOS,1,2.1682
2020,CANELINHA,1,1.6264
2020,CANOINHAS,5,25.5424
2020,CATANDUVAS,2,11.1883
2020,CELSO RAMOS,4,11.9875
2020,CERRO NEGRO,4,14.1555
2020,CHAPECO,2,17.1867
2020,CONCORDIA,4,10.7799
2020,CORREIA PINTO,2,4.5251
2020,CORUPA,2,7.2724
2020,CRICIUMA,1,6.4142
2020,CURITIBANOS,1,3.1069
2020,DIONISIO CERQUEIRA,2,1.9037
2020,ENTRE RIOS,3,54.8859
2020,FLORIANOPOLIS,1,1.3287
2020,FRAIBURGO,4,11.4179
2020,GAROPABA,1,2.1605
2020,GARUVA,4,21.8983
2020,GASPAR,4,17.0242
2020,GRAO-PARA,2,2.4319
2020,IBIAM,1,9.5428
2020,IBICARE,1,5.0509
2020,IMARUI,2,3.9973
2020,INDAIAL,1,0.601
2020,IPORA DO OESTE,1,3.0527
2020,IPUACU,2,8.8173
2020,IPUMIRIM,1,2.9392
2020,ITAIOPOLIS,13,29.9567
2020,ITAJAI,1,1.5686
2020,ITAPOA,4,13.0272
2020,ITUPORANGA,1,2.2786
2020,JABORA,2,16.751
2020,JACINTO MACHADO,1,1.6258
2020,JARAGUA DO SUL,1,2.7869
2020,JARDINOPOLIS,1,4.5142
2020,JOINVILLE,1,1.3725
2020,LAGES,2,3.537
2020,LAURO MULLER,1,0.8802
2020,LEBON REGIS,3,9.1747
2020,LINDOIA DO SUL,1,2.8209
2020,LUIZ ALVES,1,1.2723
2020,MACIEIRA,2,8.2
2020,MAFRA,14,39.2618
2020,MAJOR VIEIRA,2,4.6233
2020,MASSARANDUBA,1,0.714
2020,MONDAI,1,2.5398
2020,MONTE CASTELO,6,43.7192
2020,ORLEANS,1,6.7904
2020,OURO,2,4.3158
2020,PAINEL,1,2.877
2020,PALHOCA,4,31.2542
2020,PALMEIRA,1,3.5304
2020,PALMITOS,1,2.2197
2020,PAPANDUVA,3,10.3245
2020,PASSOS MAIA,10,201.3075
2020,PAULO LOPES,1,5.7631
2020,PERITIBA,1,7.1052
2020,PONTE SERRADA,2,55.6374
2020,PORTO BELO,2,10.6261
2020,POUSO REDONDO,1,6.4037
2020,PRESIDENTE NEREU,2,5.7532
2020,QUILOMBO,2,8.3099
2020,RANCHO QUEIMADO,2,9.3634
2020,RIO DAS ANTAS,2,3.7133
2020,RIO DO CAMPO,1,1.4712
2020,RIO DOS CEDROS,2,63.0099
2020,RIO NEGRINHO,5,17.0352
2020,RIO RUFINO,1,68.848
2020,RIQUEZA,2,4.7396
2020,ROMELANDIA,1,1.1154
2020,SALETE,2,9.5554
2020,SALTINHO,1,1.921
2020,SANTA CECILIA,2,10.4868
2020,SANTA HELENA,1,4.0794
